,store,sido,gungu,store_address
33,둔촌1호,서울,강동구,서울 강동구 둔촌동 454-5
34,명일1호,서울,강동구,서울 강동구 명일동 328-2
35,성내,서울,강동구,서울 강동구 성내2동 509-7 1층
36,암사1호,서울,강동구,서울 강동구 천호동 287-22
37,암사2호,서울,강동구,서울 강동구 암사동 446-18
38,천호1호,서울,강동구,서울 강동구 천호동 550번지
39,덕성여대,서울,강북구,서울 강북구 우이동 72-148
40,미아1호,서울,강북구,서울 강북구 미아5동 1264-233
41,미아역,서울,강북구,서울 강북구 미아동 131-8
42,수유1호,서울,강북구,서울 강북구 수유동 385-2
43,수유역점,서울,강북구,서울 강북구 번동 461-127
44,가양,서울,강서구,서울 강서구 등촌동 75-1
45,강서구청,서울,강서구,서울 강서구 화곡6동 987-7
46,까치산역,서울,강서구,서울 강서구 화곡동 343-62 라인씨티 1층
47,등촌,서울,강서구,서울 강서구 등촌동 649-14
48,마곡1호,서울,강서구,서울 강서구 강서로 마곡동 784-11 마곡오드카운티1차 111호
49,발산역,서울,강서구,서울 강서구 내발산동 655-6번지 1층 13호
50,방화2호,서울,강서구,서울 강서구 방화2동 580-27
51,염창,서울,강서구,서울 강서구 염창동 249-5
52,화곡2호,서울,강서구,서울 강서구 화곡동 400-45
53,봉천2호,서울,관악구,서울 관악구 봉천동 1674-20
54,봉천3호,서울,관악구,서울 관악구 봉천동 1632-9
55,봉천4호,서울,관악구,서울 관악구 봉천동 931-12
56,봉천5호,서울,관악구,서울 관악구 봉천3동 7-291
57,신림1호,서울,관악구,서울 관악구 신림4동 504-22
58,신림2호,서울,관악구,서울 관악구 신림동 762-7
59,신림3호,서울,관악구,서울 관악구 신림9동 246-49
60,건대,서울,광진구,서울 광진구 화양동 9-18
61,광장,서울,광진구,서울 광진구 광장동 530-13
62,구의2호,서울,광진구,서울 광진구 구의동 229-43
63,자양1호,서울,광진구,서울 광진구 자양3동 584-28
64,자양2호,서울,광진구,서울 광진구 자양동 624-42
65,중곡1호,서울,광진구,서울 광진구 중곡동 243-1
66,중곡2호,서울,광진구,서울 광진구 중곡동 24-2
67,개봉1호,서울,구로구,서울 구로구 개봉동 403-159
68,고척1호,서울,구로구,서울 구로구 개봉1동 126-4
69,구로2호,서울,구로구,서울 구로구 구로동 74-30
70,구로디지털,서울,구로구,서울 구로구 구로동 826-1
71,동양미래대학,서울,구로구,서울 구로구 고척동 343
72,신도림1호,서울,구로구,서울 구로구 신도림동 410-1 신도림6차대림@상가 902동111호
73,오류1호,서울,구로구,서울 구로구 오류1동 10-3
74,천왕역,서울,구로구,서울 구로구 오류동 203-1 1층
75,가산디지털,서울,금천구,서울 금천구 가산동 371-6 가산비지니스센터 2층
76,독산1호,서울,금천구,"서울 금천구 독산동 888-20 102호,103호"
77,시흥1호,서울,금천구,서울 금천구 시흥2동 264-17
78,시흥2호,서울,금천구,서울 금천구 시흥1동 905-5
79,공릉1호,서울,노원구,서울 노원구 공릉동 338-6
80,공릉2호,서울,노원구,서울 노원구 공릉동 461-1
81,상계4단지,서울,노원구,서울 노원구 상계7동 749-5 상계주공@4단지상가101호
82,상계보람,서울,노원구,서울 노원구 상계5동 456-130
83,석계역,서울,노원구,서울 노원구 월계1동 73-13
84,수락산역,서울,노원구,서울 노원구 상계동 1118
85,중계1호,서울,노원구,서울 노원구 중계1동 360-9
86,중계2호,서울,노원구,서울 노원구 중계동 137-39 정진빌라 1층
87,중계역,서울,노원구,서울 노원구 중계2동 503
88,하계1호,서울,노원구,서울 노원구 하계1동 251 청구상가 201동 101호
89,도봉동,서울,도봉구,서울 도봉구 도봉2동 623-163
90,쌍문1호,서울,도봉구,서울 도봉구 방학동 263-56
91,쌍문역,서울,도봉구,서울 도봉구 쌍문3동 88-127
92,창3동,서울,도봉구,서울 도봉구 창동 568-2
93,창동,서울,도봉구,서울 도봉구 창5동 296-37
94,경희대,서울,동대문구,서울 동대문구 회기동 42-16
95,답십리1호,서울,동대문구,서울 동대문구 답십리동 257-3
96,서울시립대,서울,동대문구,서울 동대문구 전농1동 141-141
97,신이문,서울,동대문구,서울 동대문구 이문3동 237-114
98,안암,서울,동대문구,서울 동대문구 제기동 142-8
99,장안1호,서울,동대문구,서울 동대문구 전농3동 1-171
100,장안2호,서울,동대문구,서울 동대문구  장안동 375-3
101,청량리역,서울,동대문구,서울 동대문구 청량리동 50-3
102,대방1호,서울,동작구,서울 동작구 대방동 20-25 한스빌 105호
103,사당1호,서울,동작구,서울 동작구 사당3동 155-2 1F
104,사당3호,서울,동작구,서울 동작구 사당동 220-119
105,상도터널,서울,동작구,서울 동작구 상도1동 587
106,신대방,서울,동작구,서울 동작구 신대방동 607-28
107,신대방삼거리,서울,동작구,서울 동작구 대방동 407-46
108,흑석1호,서울,동작구,서울 동작구 흑석동 180-6
